"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상"
"서울특별시 노원구 공릉2동(1135060000)","41,702","41,702","3,038","4,286","6,905","5,496","6,678","6,340","5,192","2,510","1,113","141","3"
"서울특별시 노원구 하계1동(1135061100)","26,616","26,616","937","3,154","4,612","2,665","3,442","4,814","3,869","1,906","1,057","157","3"
"서울특별시 노원구 하계2동(1135061200)","21,367","21,367","1,210","2,538","2,640","2,435","3,530","3,820","2,893","1,418","761","122","0"
"서울특별시 노원구 중계본동(1135061900)","23,099","23,099","1,163","4,220","2,934","1,679","4,338","4,579","2,499","1,008","603","75","1"
"서울특별시 노원구 중계1동(1135062100)","26,383","26,383","1,669","5,267","2,857","1,882","5,763","4,873","2,432","990","570","78","2"
"서울특별시 노원구 중계4동(1135062400)","19,349","19,349","917","1,997","2,348","1,786","2,990","3,607","2,766","1,890","907","138","3"
"서울특별시 노원구 중계2.3동(1135062500)","32,935","32,935","1,599","2,752","3,752","3,931","4,942","5,577","4,994","3,328","1,796","252","12"
"서울특별시 노원구 상계1동(1135063000)","37,273","37,273","1,933","2,999","4,620","4,518","5,193","6,706","6,419","3,179","1,490","205","11"
"서울특별시 노원구 상계2동(1135064000)","19,405","19,405","744","1,659","2,985","2,162","2,619","3,773","3,161","1,491","719","86","6"
"서울특별시 노원구 상계3.4동(1135066500)","24,999","24,999","1,144","1,785","2,821","2,578","3,449","4,482","4,505","2,671","1,428","129","7"
"서울특별시 노원구 상계5동(1135067000)","23,297","23,297","871","1,777","3,027","2,590","3,109","4,403","3,914","2,276","1,156","168","6"
"서울특별시 노원구 상계6.7동(1135069500)","31,784","31,784","1,982","2,763","4,123","4,663","4,981","5,536","4,296","2,131","1,087","218","4"
"서울특별시 노원구 상계8동(1135070000)","22,009","22,009","1,971","1,819","2,427","4,668","3,699","3,069","2,382","1,252","615","104","3"
"서울특별시 노원구 상계9동(1135071000)","19,807","19,807","1,086","1,774","2,457","2,651","3,041","3,506","2,936","1,467","745","143","1"
"서울특별시 노원구 상계10동(1135072000)","18,252","18,252","1,201","1,507","2,328","2,879","2,790","3,189","2,577","1,114","571","92","4"
"서울특별시 은평구 (1138000000)","463,298","463,298","24,621","35,716","62,018","65,306","70,452","76,519","68,070","39,095","19,309","2,133","59"
"서울특별시 은평구 녹번동(1138051000)","36,322","36,322","2,189","2,143","4,605","5,714","5,444","5,829","5,408","3,218","1,575","194","3"
"서울특별시 은평구 불광제1동(1138052000)","37,735","37,735","1,920","2,420","4,811","5,230","5,407","6,445","5,975","3,440","1,868","215","4"
